requestedUrl,finalUrl,category,name,title,type,score
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","0.6"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","is-on-https","Does not use HTTPS","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","external-anchors-use-rel-noopener","Links to cross-origin destinations are unsafe","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","no-vulnerable-libraries","Includes front-end JavaScript libraries with known security vulnerabilities","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","image-aspect-ratio","Displays images with incorrect aspect ratio","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","image-size-responsive","Serves images with appropriate resolution","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","doctype","Page has the HTML doctype","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","charset","Properly defines charset","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Best Practices","appcache-manifest","Avoids Application Cache","binary","1"
