requestedUrl,finalUrl,category,name,title,type,score
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","meta-viewport","`[user-scalable=""no""]` is not used in the `<meta name=""viewport"">` element and the `[maximum-scale]` attribute is not less than 5.","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","object-alt","`<object>` elements have `[alt]` text","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","tabindex","No element has a `[tabindex]` value greater than 0","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","0.87"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","is-on-https","Uses HTTPS","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","external-anchors-use-rel-noopener","Links to cross-origin destinations are unsafe","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","image-aspect-ratio","Displays images with correct aspect ratio","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","image-size-responsive","Serves images with low resolution","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","doctype","Page has the HTML doctype","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","charset","Properly defines charset","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","appcache-manifest","Avoids Application Cache","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","js-libraries","Detected JavaScript libraries","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","deprecations","Avoids deprecated APIs","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","errors-in-console","No browser errors logged to the console","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","valid-source-maps","Page has valid source maps","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Best Practices","inspector-issues","No issues in the `Issues` panel in Chrome Devtools","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","seo-score","Overall SEO Category Score","numeric","0.69"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","document-title","Document has a `<title>` element","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","meta-description","Document does not have a meta description","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","http-status-code","Page has successful HTTP status code","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","link-text","Links have descriptive text","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","crawlable-anchors","Links are not crawlable","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","is-crawlable","Page isn’t blocked from indexing","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","robots-txt","robots.txt is not valid","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","image-alt","Image elements do not have `[alt]` attributes","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","hreflang","Document has a valid `hreflang`","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","canonical","Document has a valid `rel=canonical`","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","font-size","Document uses legible font sizes","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","SEO","plugins","Document avoids plugins","binary","1"
